name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
F3	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
Fz	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
F4	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
T7	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
C3	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
Cz	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
C4	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
T8	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
CP3	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
CP4	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
P3	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
Pz	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
P4	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
PO7	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
PO8	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
Oz	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
Fp1	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
Fp2	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
F7	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
F8	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
FC5	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
FC1	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
FC2	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
FC6	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
CPz	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
P7	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
P5	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
PO3	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
POz	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
PO4	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
O1	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
O2	EEG	V	58.0	62.0	ElectroEncephaloGram	256.0	good	n/a
